# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	21037
#@/user_id	edf49405-f6ee-4acb-88d3-58294728cd25
bi sai 	比賽	c=1 d=0.873716 t=21037
bi wo 	比我	c=2 d=0.99005 t=21037
bi xu 	必須	c=3 d=1.78433 t=21037
bi yao 	必要	c=1 d=0.279431 t=21037
bi yu 	比喻	c=1 d=0.847894 t=21037
bian 	變	c=7 d=3.76509 t=21037
bian 	邊	c=10 d=6.63201 t=21037
bian cheng 	編程	c=14 d=4.5259 t=21037
bian cheng 	變成	c=1 d=0.529935 t=21037
bian da 	變大	c=1 d=0.97531 t=21037
bian di 	遍地	c=1 d=0.222017 t=21037
bian dong 	變動	c=1 d=0.763379 t=21037
bian hao 	編號	c=1 d=0.99005 t=21037
bian hua 	變化	c=1 d=0.97531 t=21037
bian ji qi 	編輯器	c=6 d=2.33666 t=21037
bian jing 	邊境	c=1 d=0.798516 t=21037
bian kan 	邊看	c=5 d=4.38332 t=21037
bian kuang 	邊框	c=5 d=3.36451 t=21037
bian le 	變了	c=1 d=0.927743 t=21037
bian li 	遍歷	c=5 d=1.9396 t=21037
bian liang 	變量	c=15 d=8.89015 t=21037
bian liang ming 	變量名	c=1 d=0.771052 t=21037
bian ma 	編碼	c=2 d=1.97032 t=21037
bian mu 	邊牧	c=1 d=0.985112 t=21037
bian ping 	扁平	c=1 d=0.763379 t=21037
bian shang qu 	編上去	c=1 d=0.141564 t=21037
bian ti 	變體	c=1 d=0.640824 t=21037
bian wei 	變爲	c=1 d=0.980199 t=21037
bian xia zai 	變下載	c=1 d=0.960789 t=21037
bian yi 	編譯	c=10 d=3.35046 t=21037
bian yi hao 	編譯號	c=1 d=0.733447 t=21037
bian yi qi 	編譯器	c=3 d=2.35726 t=21037
bian yi shi 	編譯時	c=1 d=0.97531 t=21037
bian yi xing 	編譯型	c=1 d=0.701173 t=21037
bian zi 	鞭子	c=1 d=0.790571 t=21037
biao 	標	c=3 d=2.56281 t=21037
biao 	表	c=4 d=1.59484 t=21037
biao jie 	表姐	c=1 d=0.279431 t=21037
biao ming 	標明	c=1 d=0.683861 t=21037
biao qian 	標籤	c=2 d=1.6182 t=21037
biao ti 	標題	c=2 d=1.49668 t=21037
biao ti la 	標題啦	c=1 d=0.865022 t=21037
biao ti lan 	標題欄	c=3 d=2.27029 t=21037
biao zhun ku 	標準庫	c=2 d=1.29009 t=21037
bie 	別	c=4 d=1.57189 t=21037
bie dang 	別當	c=0 d=0.0869358 t=21037
bie dang wo 	別當我	c=1 d=0.873716 t=21037
bie de 	別的	c=4 d=1.51132 t=21037
bie ji 	別急	c=1 d=0.843665 t=21037
bie niu 	別扭	c=1 d=0.597501 t=21037
bie ren 	別人	c=2 d=1.34847 t=21037
bin qi 	擯棄	c=1 d=0.83527 t=21037
bing 	並	c=21 d=6.10821 t=21037
bing bu 	並不	c=5 d=3.39334 t=21037
bing bu duo 	並不多	c=1 d=0.985112 t=21037
bing bu shi 	並不是	c=1 d=0.99005 t=21037
bing fa 	併發	c=3 d=2.62266 t=21037
bing gan 	餅乾	c=2 d=1.88355 t=21037
bing gao 	稟告	c=1 d=0.946485 t=21037
bing gao su 	並告訴	c=2 d=1.69205 t=21037
bing mei you 	並沒有	c=5 d=3.34479 t=21037
bing qie 	並且	c=17 d=4.67629 t=21037
bing tian jia 	並添加	c=1 d=0.806541 t=21037
bo 	勃	c=1 d=0.847894 t=21037
bo 	播	c=1 d=1.01776 t=21037
bo 	波	c=4 d=2.58315 t=21037
bo fang 	播放	c=82 d=14.4387 t=21037
bo fang guo 	播放過	c=1 d=0.980199 t=21037
bo fang qi 	播放器	c=44 d=8.16217 t=21037
bo ke 	博客	c=3 d=2.58005 t=21037
bo lang 	波浪	c=1 d=0.937067 t=21037
bo lang xing 	波浪形	c=1 d=0.763379 t=21037
bo li 	玻璃	c=1 d=0.304221 t=21037
bo you xi 	播遊戲	c=1 d=0.951229 t=21037
bu 	不	c=18 d=5.01759 t=21037
bu 	布	c=1 d=0.97531 t=21037
bu an quan 	不安全	c=1 d=0.904837 t=21037
bu bei 	不被	c=1 d=0.755784 t=21037
bu bian 	不變	c=2 d=1.69197 t=21037
bu chi 	不喫	c=1 d=0.951229 t=21037
bu cun zai 	不存在	c=1 d=0.249075 t=21037
bu cuo 	不錯	c=1 d=0.882497 t=21037
bu da 	不大	c=1 d=0.955997 t=21037
bu da 	不打	c=1 d=0.740818 t=21037
bu da suan 	不打算	c=2 d=1.27882 t=21037
bu da yin 	不打印	c=2 d=1.91202 t=21037
bu dai 	不帶	c=1 d=0.782705 t=21037
bu dao 	不到	c=3 d=1.81775 t=21037
bu de 	不得	c=2 d=1.06951 t=21037
bu de bu 	不得不	c=1 d=0.831104 t=21037
bu dong 	不動	c=2 d=1.15513 t=21037
bu du se 	不堵塞	c=1 d=0.67032 t=21037
bu dui 	不對	c=8 d=3.03543 t=21037
bu dui deng 	不對等	c=1 d=0.798516 t=21037
bu duo 	不多	c=1 d=0.856415 t=21037
bu duo zhui shu 	不多贅述	c=1 d=0.759572 t=21037
bu fa song 	不發送	c=2 d=1.59723 t=21037
bu fang 	不放	c=1 d=0.895834 t=21037
bu fei hua 	不廢話	c=1 d=0.615697 t=21037
bu fen 	部分	c=2 d=1.82116 t=21037
bu gan 	不敢	c=1 d=0.951229 t=21037
bu gan xing qu 	不感興趣	c=1 d=0.960789 t=21037
bu gao 	不高	c=1 d=1 t=21037
bu gei 	不給	c=2 d=1.12476 t=21037
bu gei 	補給	c=1 d=0.759572 t=21037
bu gei wo 	不給我	c=1 d=0.927743 t=21037
bu gen ni 	不跟你	c=1 d=0.591555 t=21037
bu gou 	不夠	c=1 d=1.01144 t=21037
bu gou ni 	不夠你	c=1 d=0.559898 t=21037
bu gou yong 	不夠用	c=3 d=1.89084 t=21037
bu guan 	不管	c=5 d=1.41237 t=21037
bu guan 	不關	c=0 d=0.0537944 t=21037
bu guan ji 	不關機	c=2 d=1.09497 t=21037
bu guan le 	不管了	c=1 d=0.351692 t=21037
bu guo 	不過	c=4 d=1.19557 t=21037
bu guo qu 	不過去	c=0 d=0.0937067 t=21037
bu guo shi 	不過是	c=1 d=0.951229 t=21037
bu hao 	不好	c=1 d=0.755784 t=21037
bu hao kan 	不好看	c=4 d=1.92673 t=21037
bu hao wan 	不好玩	c=4 d=2.53269 t=21037
bu hao yong 	不好用	c=2 d=1.91285 t=21037
bu he li 	不合理	c=1 d=0.909373 t=21037
bu hua 	不花	c=1 d=0.474734 t=21037
bu hua qian 	不花錢	c=4 d=0.763313 t=21037
bu hua suan 	不划算	c=1 d=0.852144 t=21037
bu hui 	不會	c=38 d=8.12022 t=21037
bu hui dong 	不會動	c=3 d=2.18471 t=21037
bu hui kan 	不會看	c=1 d=0.904837 t=21037
bu hui luan 	不會亂	c=2 d=1.53829 t=21037
bu hui yong 	不會用	c=2 d=0.759777 t=21037
bu hui you 	不會有	c=2 d=1.59045 t=21037
bu hui zuo 	不會做	c=1 d=0.869358 t=21037
bu huo 	捕獲	c=6 d=4.67479 t=21037
bu ji 	布吉	c=0 d=0.0878095 t=21037
bu ji dao 	布吉島	c=1 d=0.882497 t=21037
bu jian yi 	不建議	c=2 d=1.71613 t=21037
bu jiao 	不叫	c=1 d=0.909373 t=21037
bu jin 	不僅	c=0 d=0.0860708 t=21037
bu jin gao 	不僅高	c=1 d=0.865022 t=21037
bu jiu 	不就	c=1 d=0.756727 t=21037
bu jiu de le 	不就得了	c=1 d=0.307279 t=21037
bu jiu hao le 	不就好了	c=1 d=0.70822 t=21037
bu ju 	佈局	c=21 d=9.72165 t=21037
bu ju zhong 	不居中	c=1 d=0.913931 t=21037
bu kan 	不看	c=1 d=0.852144 t=21037
bu ke 	不可	c=1 d=0.927743 t=21037
bu ke bian 	不可變	c=3 d=2.61139 t=21037
bu ke neng 	不可能	c=6 d=2.91019 t=21037
bu ke qu 	不可取	c=1 d=0.737123 t=21037
bu lao 	不牢	c=1 d=0.980199 t=21037
bu le 	不了	c=3 d=2.39238 t=21037
bu le yi 	不樂意	c=1 d=0.67368 t=21037
bu lei 	不累	c=1 d=0.822835 t=21037
bu li jie 	不理解	c=1 d=0.965605 t=21037
bu liu chang 	不流暢	c=1 d=1 t=21037
bu nan 	不難	c=2 d=0.873367 t=21037
bu neng 	不能	c=18 d=4.11035 t=21037
bu neng shuo 	不能說	c=1 d=0.615697 t=21037
bu neng yong 	不能用	c=1 d=0.909373 t=21037
bu pa 	不怕	c=3 d=1.72438 t=21037
bu pai chu 	不排除	c=1 d=0.843665 t=21037
bu qi 	補齊	c=1 d=0.995012 t=21037
bu qiang 	不強	c=0 d=0.0860708 t=21037
bu qiu 	不求	c=1 d=0.16696 t=21037
bu qu diao 	不去掉	c=1 d=0.955997 t=21037
bu quan 	不全	c=2 d=0.955997 t=21037
bu quan 	補全	c=22 d=8.32838 t=21037
bu quan ne 	補全呢	c=1 d=0.960789 t=21037
bu que 	不缺	c=1 d=0.631284 t=21037
bu ran 	不然	c=4 d=1.37083 t=21037
bu ran ne 	不然呢	c=1 d=0.748264 t=21037
bu rang 	不讓	c=1 d=0.814647 t=21037
bu ru 	不如	c=4 d=1.89283 t=21037
bu ru yi 	不如意	c=0 d=0.0937067 t=21037
bu ru yi ma 	不如意嗎	c=1 d=0.941765 t=21037
bu shang 	補上	c=1 d=0.909373 t=21037
